sensor_id,timestamp,value
1,2025-01-01 00:00:00,-11.0
1,2025-01-01 00:00:26,-11.08
1,2025-01-01 00:00:34,-11.31
1,2025-01-01 00:00:42,-10.64
1,2025-01-01 00:00:52,-10.6
1,2025-01-01 00:01:03,-9.57
1,2025-01-01 00:01:15,-9.98
1,2025-01-01 00:01:32,-9.96
1,2025-01-01 00:01:59,-10.45
1,2025-01-01 00:02:09,-11.31
1,2025-01-01 00:02:15,-11.14
1,2025-01-01 00:02:37,-11.7
1,2025-01-01 00:02:59,-11.67
1,2025-01-01 00:03:13,-11.86
1,2025-01-01 00:03:36,-10.97
1,2025-01-01 00:04:03,-11.91
1,2025-01-01 00:04:18,-10.84
1,2025-01-01 00:04:31,-11.58
1,2025-01-01 00:04:50,-12.41
1,2025-01-01 00:04:59,-11.89
1,2025-01-01 00:05:25,-10.87
1,2025-01-01 00:05:33,-11.85
1,2025-01-01 00:05:54,-12.52
1,2025-01-01 00:06:04,-12.55
1,2025-01-01 00:06:29,-12.03
1,2025-01-01 00:06:47,-12.94
1,2025-01-01 00:06:56,-12.39
1,2025-01-01 00:07:17,-12.72
1,2025-01-01 00:07:38,-13.31
1,2025-01-01 00:07:55,-12.57
1,2025-01-01 00:08:19,-12.99
1,2025-01-01 00:08:35,-13.16
1,2025-01-01 00:08:48,-13.63
1,2025-01-01 00:09:06,-14.29
1,2025-01-01 00:09:11,-14.95
1,2025-01-01 00:09:24,-15.6
1,2025-01-01 00:09:37,-16.15
1,2025-01-01 00:10:04,-15.56
1,2025-01-01 00:10:22,-16.25
1,2025-01-01 00:10:48,-16.3
1,2025-01-01 00:11:03,-16.31
1,2025-01-01 00:11:31,-17.41
1,2025-01-01 00:11:40,-18.3
1,2025-01-01 00:11:58,-18.0
1,2025-01-01 00:12:24,-17.18
1,2025-01-01 00:12:53,-17.35
1,2025-01-01 00:13:17,-16.92
1,2025-01-01 00:13:34,-16.92
1,2025-01-01 00:13:59,-16.93
1,2025-01-01 00:14:25,-17.77
1,2025-01-01 00:14:31,-18.83
1,2025-01-01 00:14:48,-18.55
1,2025-01-01 00:15:11,-19.34
1,2025-01-01 00:15:28,-19.31
1,2025-01-01 00:15:57,-19.82
1,2025-01-01 00:16:05,-19.5
1,2025-01-01 00:16:22,-19.63
1,2025-01-01 00:16:33,-19.48
1,2025-01-01 00:16:56,-20.39
1,2025-01-01 00:17:26,-20.79
1,2025-01-01 00:17:40,-21.37
1,2025-01-01 00:17:46,-21.17
1,2025-01-01 00:17:53,-21.22
1,2025-01-01 00:18:12,-20.62
1,2025-01-01 00:18:22,-20.11
1,2025-01-01 00:18:30,-19.03
1,2025-01-01 00:18:37,-19.26
1,2025-01-01 00:18:50,-18.77
1,2025-01-01 00:19:04,-19.23
1,2025-01-01 00:19:18,-18.98
1,2025-01-01 00:19:28,-18.46
1,2025-01-01 00:19:33,-17.7
1,2025-01-01 00:19:46,-17.23
1,2025-01-01 00:19:53,-17.63
1,2025-01-01 00:20:17,-18.71
1,2025-01-01 00:20:29,-18.26
1,2025-01-01 00:20:50,-19.25
1,2025-01-01 00:20:58,-18.44
1,2025-01-01 00:21:04,-17.99
1,2025-01-01 00:21:17,-18.76
1,2025-01-01 00:21:31,-19.3
1,2025-01-01 00:21:38,-18.83
1,2025-01-01 00:21:50,-18.07
1,2025-01-01 00:22:14,-17.97
1,2025-01-01 00:22:30,-18.37
1,2025-01-01 00:22:56,-19.36
1,2025-01-01 00:23:18,-19.44
1,2025-01-01 00:23:25,-19.6
1,2025-01-01 00:23:37,-20.15
1,2025-01-01 00:23:46,-20.18
1,2025-01-01 00:24:12,-20.19
1,2025-01-01 00:24:24,-20.55
1,2025-01-01 00:24:54,-21.28
1,2025-01-01 00:25:22,-21.9
1,2025-01-01 00:25:50,-22.34
1,2025-01-01 00:26:11,-23.2
1,2025-01-01 00:26:27,-23.0
1,2025-01-01 00:26:49,-23.32
1,2025-01-01 00:27:18,-23.54
1,2025-01-01 00:27:26,-22.79
1,2025-01-01 00:27:48,-22.42
1,2025-01-01 00:27:54,-22.49
1,2025-01-01 00:28:01,-22.25
1,2025-01-01 00:28:19,-21.25
1,2025-01-01 00:28:42,-20.8
1,2025-01-01 00:29:09,-20.5
1,2025-01-01 00:29:37,-20.59
1,2025-01-01 00:29:48,-21.21
1,2025-01-01 00:30:18,-21.22
1,2025-01-01 00:30:46,-20.28
1,2025-01-01 00:30:58,-20.1
1,2025-01-01 00:31:11,-20.9
1,2025-01-01 00:31:35,-21.2
1,2025-01-01 00:31:57,-22.21
1,2025-01-01 00:32:06,-21.85
1,2025-01-01 00:32:20,-22.21
1,2025-01-01 00:32:48,-22.09
1,2025-01-01 00:33:09,-23.1
1,2025-01-01 00:33:31,-23.69
1,2025-01-01 00:33:53,-22.69
1,2025-01-01 00:34:18,-22.39
1,2025-01-01 00:34:34,-22.76
1,2025-01-01 00:34:39,-23.45
1,2025-01-01 00:34:59,-22.48
1,2025-01-01 00:35:08,-23.37
1,2025-01-01 00:35:13,-22.95
1,2025-01-01 00:35:30,-23.5
1,2025-01-01 00:35:37,-24.03
1,2025-01-01 00:36:06,-23.61
1,2025-01-01 00:36:14,-24.65
1,2025-01-01 00:36:26,-25.03
